"","station_id","station_name","lat","long","start_n","end_n","e_start_n","e_end_n","c_start_n","c_end_n","total","classic","electric"
"1","","",41.93,-87.7,11699,13237,11699,12991,0,0,24936,0,24690
"2","13001","Michigan Ave & Washington St",41.8839840647265,-87.6246839761734,570,649,124,126,329,383,1219,712,250
"3","13006","LaSalle St & Washington St",41.8827456666667,-87.6326705,471,484,149,149,271,278,955,549,298
"4","13008","Millennium Park",41.8810317,-87.62408432,452,558,91,92,228,297,1010,525,183
"5","13011","Canal St & Adams St",41.879255,-87.639904,450,455,139,135,258,259,905,517,274
"6","13016","St. Clair St & Erie St",41.8943451374243,-87.6227983832359,945,1042,255,252,576,665,1987,1241,507
"7","13017","Franklin St & Chicago Ave",41.8967469730938,-87.6356676220894,519,522,192,189,281,285,1041,566,381
"8","13021","Clinton St & Lake St",41.885637,-87.641823,457,495,113,107,299,333,952,632,220
"9","13022","Streeter Dr & Grand Ave",41.892278,-87.612043,456,444,84,84,280,256,900,536,168
"10","13028","900 W Harrison St",41.874754,-87.649807,136,146,22,22,92,111,282,203,44
"11","13029","Field Museum",41.865312,-87.617867,44,41,8,7,26,31,85,57,15
"12","13033","Milwaukee Ave & Grand Ave",41.891578,-87.648384,514,493,170,166,306,291,1007,597,336
"13","13034","Michigan Ave & Pearson St",41.8968418333333,-87.6229563333333,367,376,103,98,215,209,743,424,201
"14","13036","Michigan Ave & Madison St",41.882134,-87.625125,332,382,119,119,183,213,714,396,238
"15","13037","Clinton St & Tilden St",41.875885,-87.640795,85,75,20,21,51,42,160,93,41
"16","13042","Michigan Ave & Oak St",41.901104,-87.6235553333333,484,565,134,128,272,345,1049,617,262
"17","13045","Dearborn St & Erie St",41.893992,-87.629318,1027,1112,500,498,447,547,2139,994,998
"18","13050","State St & Kinzie St",41.8891553333333,-87.6280836666667,446,507,78,144,289,289,953,578,222
"19","13053","Green St & Randolph St",41.8836061666667,-87.6485098333333,337,437,120,135,185,263,774,448,255
"20","13056","Canal St & Monroe St",41.88169,-87.63953,168,135,29,28,109,91,303,200,57
"21","13058","Dayton St & North Ave",41.9105780349,-87.6494219288,339,360,133,123,184,213,699,397,256
"22","13059","Bissell St & Armitage Ave",41.91844,-87.65222,456,496,137,134,275,327,952,602,271
"23","13061","Ashland Ave & Division St",41.9034425,-87.6678308333333,559,558,198,196,302,293,1117,595,394
"24","13063","Sheridan Rd & Irving Park Rd",41.9542163333333,-87.6544203333333,451,451,87,87,320,317,902,637,174
"25","13068","Western Ave & Winnebago Ave",41.9156633333333,-87.6870145,230,229,100,99,115,118,459,233,199
"26","13071","Southport Ave & Roscoe St",41.9437183333333,-87.6640005,448,474,134,139,277,289,922,566,273
"27","13073","Ashland Ave & Lake St",41.88592,-87.66717,78,47,28,26,42,15,125,57,54
"28","13074","Broadway & Wilson Ave",41.965221,-87.658139,286,299,118,112,150,162,585,312,230
"29","13075","Wentworth Ave & Cermak Rd",41.8530816666667,-87.6318631666667,185,208,39,39,132,157,393,289,78
"30","13080","Hermitage Ave & Polk St",41.871514,-87.669886,1,6,0,0,0,0,7,0,0
"31","13081","Ogden Ave & Congress Pkwy",41.87501,-87.67328,62,67,30,30,29,30,129,59,60
"32","13083","Indiana Ave & 40th St",41.8216936666667,-87.6213873333333,10,7,6,6,4,1,17,5,12
"33","13084","California Ave & Milwaukee Ave",41.922695,-87.697153,252,257,150,149,83,92,509,175,299
"34","13085","Kedzie Ave & Milwaukee Ave",41.9295801666667,-87.707901,241,256,128,128,93,107,497,200,256
"35","13089","Damen Ave & Cullerton St",41.8549665187539,-87.6756995916366,66,82,17,19,46,56,148,102,36
"36","13091","Western Ave & 21st St",41.854109,-87.685838,109,117,68,70,38,45,226,83,138
"37","13096","California Ave & 21st St",41.8538040657915,-87.6957423985004,37,39,13,11,23,25,76,48,24
"38","13099","Halsted St & 18th St",41.857499,-87.646277,51,50,18,13,28,32,101,60,31
"39","13102","Calumet Ave & 18th St",41.8575861666667,-87.6195201666667,236,230,58,55,154,155,466,309,113
"40","13108","Broadway & Argyle St",41.9736943333333,-87.6596381666667,298,287,79,69,181,186,585,367,148
"41","13109","Broadway & Berwyn Ave",41.978353,-87.659753,232,243,42,44,155,169,475,324,86
"42","13124","Cannon Dr & Fullerton Ave",41.9267559875,-87.6344287848,106,98,34,29,55,52,204,107,63
"43","13128","Clark St & North Ave",41.911974,-87.631942,193,187,46,41,124,123,380,247,87
"44","13132","Damen Ave & Chicago Ave",41.895769,-87.67722,303,340,77,79,198,227,643,425,156
"45","13133","Damen Ave & Cortland St",41.915983,-87.677335,278,300,83,85,163,188,578,351,168
