"","station_id","station_name","lat","long","start_n","end_n","e_start_n","e_end_n","c_start_n","c_end_n","total","classic","electric"
"1","","",41.93,-87.7,108210,114834,108210,113680,0,0,223044,0,221890
"2","13001","Michigan Ave & Washington St",41.883984,-87.624684,2447,2427,690,686,1518,1540,4874,3058,1376
"3","13006","LaSalle St & Washington St",41.8820421666667,-87.6327075,1129,1061,522,479,568,557,2190,1125,1001
"4","13008","Millennium Park",41.881032,-87.624084,4215,4210,1119,1093,2219,2267,8425,4486,2212
"5","13011","Canal St & Adams St",41.879255,-87.639904,2107,1986,776,707,1259,1248,4093,2507,1483
"6","13016","St. Clair St & Erie St",41.8943451374243,-87.6227983832359,3292,3486,1149,1160,1994,2116,6778,4110,2309
"7","13017","Franklin St & Chicago Ave",41.8967469730938,-87.6356676220894,1731,1671,628,611,1073,1034,3402,2107,1239
"8","13021","Clinton St & Lake St",41.885637,-87.641823,2060,2011,835,805,1181,1160,4071,2341,1640
"9","13022","Streeter Dr & Grand Ave",41.892227,-87.612004,6040,6234,1305,1265,3480,3601,12274,7081,2570
"10","13028","900 W Harrison St",41.874754,-87.649807,1386,1360,409,405,914,905,2746,1819,814
"11","13029","Field Museum",41.865312,-87.617867,871,796,233,217,445,444,1667,889,450
"12","13033","Milwaukee Ave & Grand Ave",41.8916093333333,-87.648212,2082,2053,976,954,1037,1050,4135,2087,1930
"13","13034","Michigan Ave & Pearson St",41.8958748333333,-87.6235378333333,1457,1408,389,386,876,827,2865,1703,775
"14","13036","Michigan Ave & Madison St",41.882134,-87.625125,1407,1359,464,430,797,832,2766,1629,894
"15","13037","Clinton St & Tilden St",41.875885,-87.640795,417,377,140,131,269,240,794,509,271
"16","13042","Michigan Ave & Oak St",41.90096,-87.623777,3257,3263,899,894,1920,1875,6520,3795,1793
"17","13045","Dearborn St & Erie St",41.894068,-87.6290948333333,3332,3342,1177,1166,2077,2069,6674,4146,2343
"18","13050","State St & Kinzie St",41.8892348333333,-87.6276423333333,2409,2436,862,844,1410,1437,4845,2847,1706
"19","13053","Green St & Randolph St",41.8835448333333,-87.6485528333333,2152,2240,820,818,1273,1333,4392,2606,1638
"20","13056","Canal St & Monroe St",41.88169,-87.63953,1094,1073,365,359,690,676,2167,1366,724
"21","13058","Dayton St & North Ave",41.9105780349,-87.6494219288,1403,1244,478,433,866,772,2647,1638,911
"22","13059","Bissell St & Armitage Ave",41.9184953333333,-87.6522218333333,2104,2167,668,674,1388,1456,4271,2844,1342
