"","station_id","station_name","lat","long","start_n","end_n","e_start_n","e_end_n","c_start_n","c_end_n","total","classic","electric"
"1","","",41.89,-87.68,93111,99261,93111,98054,0,0,192372,0,191165
"2","13001","Michigan Ave & Washington St",41.8839840647265,-87.6246839761734,3023,3000,674,663,2075,2013,6023,4088,1337
"3","13006","LaSalle St & Washington St",41.882664,-87.63253,1221,1258,425,427,749,788,2479,1537,852
"4","13008","Millennium Park",41.8810993333333,-87.6241463333333,5238,5224,1040,1021,3176,3214,10462,6390,2061
"5","13011","Canal St & Adams St",41.879255,-87.639904,2288,2183,622,600,1585,1518,4471,3103,1222
"6","13016","St. Clair St & Erie St",41.8943451374243,-87.6227983832359,3840,3885,973,960,2645,2685,7725,5330,1933
"7","13017","Franklin St & Chicago Ave",41.8968746666667,-87.6355206666667,1800,1817,440,444,1333,1353,3617,2686,884
"8","13021","Clinton St & Lake St",41.8858075,-87.6416963333333,2302,2283,656,650,1591,1574,4585,3165,1306
"9","13022","Streeter Dr & Grand Ave",41.892278,-87.612043,11463,11328,1799,1719,7591,7287,22791,14878,3518
"10","13028","900 W Harrison St",41.8747705,-87.6497433333333,1489,1498,310,316,1091,1098,2987,2189,626
"11","13029","Field Museum",41.865312,-87.617867,1087,991,200,170,683,667,2078,1350,370
"12","13033","Milwaukee Ave & Grand Ave",41.891578,-87.648384,2843,2695,814,785,1912,1805,5538,3717,1599
"13","13034","Michigan Ave & Pearson St",41.89766,-87.62351,1475,1463,267,261,1064,1028,2938,2092,528
"14","13036","Michigan Ave & Madison St",41.882134,-87.625125,1575,1489,386,363,1066,991,3064,2057,749
"15","13037","Clinton St & Tilden St",41.875885,-87.640795,416,408,101,101,309,296,824,605,202
"16","13042","Michigan Ave & Oak St",41.901102,-87.6236888333333,6256,6232,1232,1202,4243,4217,12488,8460,2434
"17","13045","Dearborn St & Erie St",41.8941966666667,-87.6293701666667,3873,3844,929,918,2783,2785,7717,5568,1847
"18","13050","State St & Kinzie St",41.889187,-87.627754,2888,2876,727,720,1970,1953,5764,3923,1447
"19","13053","Green St & Randolph St",41.883668,-87.64867,3165,3176,809,803,2240,2248,6341,4488,1612
"20","13056","Canal St & Monroe St",41.8818358333333,-87.6392481666667,1191,1162,307,287,843,841,2353,1684,594
"21","13058","Dayton St & North Ave",41.9105780349,-87.6494219288,1761,1718,420,410,1283,1258,3479,2541,830
"22","13059","Bissell St & Armitage Ave",41.91844,-87.65222,2906,2958,621,621,2217,2246,5864,4463,1242
"23","13061","Ashland Ave & Division St",41.90345,-87.667747,3725,3634,974,956,2607,2526,7359,5133,1930
