"","station_id","station_name","lat","long","start_n","end_n","e_start_n","e_end_n","c_start_n","c_end_n","total","classic","electric"
"1","","",41.91,-87.71,18580,20355,18580,20147,0,0,38935,0,38727
"2","13001","Michigan Ave & Washington St",41.8839840647265,-87.6246839761734,553,574,153,154,392,408,1127,800,307
"3","13006","LaSalle St & Washington St",41.88255918,-87.632295489,383,366,219,212,162,153,749,315,431
"4","13008","Millennium Park",41.881049514,-87.624100327,351,360,121,121,191,188,711,379,242
"5","13011","Canal St & Adams St",41.879255,-87.639904,609,662,227,219,377,439,1271,816,446
"6","13016","St. Clair St & Erie St",41.8943451374243,-87.6227983832359,674,684,249,250,421,426,1358,847,499
"7","13017","Franklin St & Chicago Ave",41.896774888,-87.635635614,386,397,183,183,198,213,783,411,366
"8","13021","Clinton St & Lake St",41.885637,-87.641823,493,518,191,190,298,326,1011,624,381
"9","13022","Streeter Dr & Grand Ave",41.892278,-87.612043,373,386,83,74,243,239,759,482,157
"10","13028","900 W Harrison St",41.8747603333333,-87.6497881666667,344,365,117,116,221,242,709,463,233
"11","13029","Field Museum",41.865312,-87.617867,62,50,11,11,44,28,112,72,22
"12","13033","Milwaukee Ave & Grand Ave",41.891737819,-87.648443222,409,382,221,204,185,176,791,361,425
"13","13034","Michigan Ave & Pearson St",41.89766,-87.62351,187,230,74,74,113,148,417,261,148
"14","13036","Michigan Ave & Madison St",41.882134,-87.625125,247,243,91,89,132,141,490,273,180
"15","13037","Clinton St & Tilden St",41.8757951666667,-87.6406073333333,103,91,47,35,56,56,194,112,82
"16","13042","Michigan Ave & Oak St",41.900904775,-87.623782635,225,287,94,92,121,184,512,305,186
"17","13045","Dearborn St & Erie St",41.894139528,-87.629143119,634,669,234,233,396,426,1303,822,467
"18","13050","State St & Kinzie St",41.88951242,-87.627800345,390,416,172,171,211,236,806,447,343
"19","13053","Green St & Randolph St",41.8831813059739,-87.6487246155739,248,264,105,107,142,155,512,297,212
"20","13056","Canal St & Monroe St",41.8813858333333,-87.6389655,392,395,171,172,219,218,787,437,343
"21","13058","Dayton St & North Ave",41.9106551666667,-87.649401,233,243,104,108,126,133,476,259,212
"22","13059","Bissell St & Armitage Ave",41.9180181423719,-87.6521819829941,260,291,114,120,142,166,551,308,234
"23","13061","Ashland Ave & Division St",41.90345,-87.667747,606,573,345,315,255,246,1179,501,660
"24","13063","Sheridan Rd & Irving Park Rd",41.954245,-87.654406,336,327,100,100,235,225,663,460,200
"25","13068","Western Ave & Winnebago Ave",41.9156546666667,-87.686891,192,180,99,94,85,83,372,168,193
"26","13071","Southport Ave & Roscoe St",41.943649292,-87.663845778,328,366,116,116,207,246,694,453,232
"27","13073","Ashland Ave & Lake St",41.88592,-87.66717,152,122,56,51,95,71,274,166,107
"28","13074","Broadway & Wilson - Truman College Vaccination Site",41.965221,-87.658139,166,207,55,57,109,148,373,257,112
"29","13075","Wentworth Ave & Cermak Rd",41.8530845574128,-87.6319313049316,115,136,43,42,69,90,251,159,85
"30","13080","Hermitage Ave & Polk St",41.8715066666667,-87.6699261666667,133,130,56,56,75,74,263,149,112
"31","13081","Ogden Ave & Congress Pkwy",41.87501,-87.67328,63,74,33,34,30,40,137,70,67
"32","13083","Indiana Ave & 40th St",41.82168,-87.6216,8,6,4,3,4,3,14,7,7
"33","13084","California Ave & Milwaukee Ave",41.922695,-87.697153,233,235,160,152,68,80,468,148,312
"34","13085","Kedzie Ave & Milwaukee Ave",41.9295225,-87.7079361666667,247,242,157,158,84,80,489,164,315
"35","13089","Damen Ave & Cullerton St",41.8549665187539,-87.6756995916366,78,83,34,34,43,45,161,88,68
"36","13091","Western Ave & 21st St",41.8540436666667,-87.6859215,45,46,28,28,16,17,91,33,56
"37","13096","California Ave & 21st St",41.8538183333333,-87.6957955,23,19,10,8,13,10,42,23,18
"38","13099","Halsted St & 18th St",41.8575056803172,-87.6459914445877,59,75,30,31,29,44,134,73,61
"39","13102","Calumet Ave & 18th St",41.857611,-87.619407,136,153,65,64,70,87,289,157,129
"40","13108","Broadway & Argyle St",41.9738138333333,-87.6596438333333,206,189,50,46,151,142,395,293,96
"41","13109","Broadway & Berwyn Ave",41.978353,-87.659753,170,191,86,83,82,103,361,185,169
"42","13124","Cannon Dr & Fullerton Ave",41.9267705,-87.6344535,38,44,10,9,23,33,82,56,19
"43","13128","Clark St & North Ave",41.9118271666667,-87.6322438333333,160,181,49,51,110,124,341,234,100
"44","13132","Damen Ave & Chicago Ave",41.895621538,-87.677099466,295,319,172,168,122,148,614,270,340
"45","13133","Damen Ave & Cortland St",41.915983,-87.677335,194,195,79,79,112,114,389,226,158
"46","13134","Damen Ave & Madison St",41.88137,-87.67493,116,101,61,56,53,41,217,94,117
"47","13135","Blue Island Ave & 18th St",41.857556,-87.661535,115,106,59,61,54,43,221,97,120
"48","13136","Damen Ave & Division St",41.903266,-87.678435,219,227,127,132,88,92,446,180,259
"49","13137","Broadway & Barry Ave",41.9375823160063,-87.6440978050232,515,523,159,159,351,355,1038,706,318
"50","13138","Canal St & Jackson Blvd",41.877245,-87.639366,291,305,101,103,186,201,596,387,204
"51","13139","Throop St & Taylor St",41.8688323333333,-87.6591108333333,160,175,56,52,104,121,335,225,108
"52","13143","Damen Ave & Melrose Ave",41.9405611666667,-87.6786103333333,43,37,17,18,25,19,80,44,35
"53","13144","Seeley Ave & Roscoe St",41.94332,-87.6797,126,140,80,79,43,60,266,103,159
"54","13146","Clark St & Armitage Ave",41.9183476666667,-87.6362826666667,335,304,136,125,193,172,639,365,261
"55","13150","Michigan Ave & 18th St",41.8578468333333,-87.6245331666667,177,173,44,46,131,126,350,257,90
"56","13154","Sheffield Ave & Kingsbury St",41.910522,-87.653106,333,355,135,137,196,213,688,409,272
"57","13155","Racine Ave & Randolph St",41.8841753333333,-87.6569458333333,100,101,49,47,51,54,201,105,96
"58","13156","Aberdeen St & Monroe St",41.880419,-87.655519,293,328,103,105,187,218,621,405,208
"59","13157","Aberdeen St & Jackson Blvd",41.87772613,-87.65478743,271,291,101,104,168,182,562,350,205
"60","13158","Peoria St & Jackson Blvd",41.8776415962753,-87.6496177911758,410,368,139,128,269,236,778,505,267
"61","13160","May St & Taylor St",41.8694821,-87.6554864,294,291,86,86,205,202,585,407,172
"62","13162","Halsted St & 21st St",41.8537798107274,-87.6466029882431,26,38,12,12,14,25,64,39,24
"63","13163","Morgan St & 18th St",41.858086,-87.651073,109,124,59,61,47,61,233,108,120
"64","13164","Racine Ave & 18th St",41.858166,-87.656495,152,152,69,71,81,79,304,160,140
"65","13165","Racine Ave & 13th St",41.8650245,-87.6570175,16,16,11,11,5,5,32,10,22
"66","13179","Clark St & Lincoln Ave",41.915848136,-87.634654522,300,253,125,105,170,144,553,314,230
"67","13191","Sedgwick St & Webster Ave",41.9222128333333,-87.6389071666667,269,242,82,79,181,162,511,343,161
"68","13192","Halsted St & Dickens Ave",41.919936,-87.64883,308,271,118,108,188,161,579,349,226
"69","13193","Larrabee St & Webster Ave",41.921822,-87.64414,304,294,112,110,185,167,598,352,222
"70","13194","Ogden Ave & Race Ave",41.891795,-87.658751,260,279,133,129,126,149,539,275,262
"71","13196","Carpenter St & Huron St",41.894453645,-87.653370023,234,187,125,102,109,85,421,194,227
"72","13197","Elizabeth (May) St & Fulton St",41.8866164860277,-87.6580399274826,162,166,105,94,55,72,328,127,199
"73","13206","Loomis St & Jackson Blvd",41.877945,-87.662007,159,154,21,22,138,132,313,270,43
"74","13213","State St & 29th St",41.841707,-87.626938,38,45,3,3,35,42,83,77,6
"75","13215","Rhodes Ave & 32nd St",41.836208,-87.613533,92,63,26,25,66,38,155,104,51
"76","13216","State St & 33rd St",41.834734,-87.625813,373,441,132,131,236,308,814,544,263
"77","13217","Calumet Ave & 33rd St",41.834857464,-87.617849708,209,145,57,47,152,98,354,250,104
"78","13221","Wood St & Milwaukee Ave",41.907655,-87.672552,253,254,138,129,112,120,507,232,267
"79","13224","Ashland Ave & Blackhawk St",41.907066,-87.667252,235,249,96,94,139,154,484,293,190
"80","13229","Southport Ave & Belmont Ave",41.939403296,-87.663674593,216,201,81,77,133,123,417,256,158
"81","13235","Southport Ave & Waveland Ave",41.94815,-87.66394,355,353,109,106,243,245,708,488,215
"82","13241","Western Ave & Division St",41.902893,-87.687275,115,125,68,73,44,51,240,95,141
"83","13242","Milwaukee Ave & Rockwell St",41.9201955620057,-87.6926591992378,98,104,49,49,49,54,202,103,98
"84","13243","Milwaukee Ave & Wabansia Ave",41.9126315,-87.6814998333333,250,295,150,154,98,139,545,237,304
"85","13245","Claremont Ave & Hirsch St",41.907781,-87.685854,43,39,21,17,22,22,82,44,38
"86","13247","Ashland Ave & Chicago Ave",41.8959456666667,-87.6677248333333,173,183,95,93,77,90,356,167,188
"87","13248","Ashland Ave & Augusta Blvd",41.899643,-87.6677,200,164,80,68,120,95,364,215,148
"88","13249","Ashland Ave & Belle Plaine Ave",41.956057,-87.668835,73,88,30,31,43,56,161,99,61
