,station_id,station_name,lat,long,start_n,end_n,e_start_n,e_end_n,c_start_n,c_end_n,total,classic,electric
1,,,41.89,-87.63,47246,50874,47246,50874,0,0,98120,0,98120
2,13001,Michigan Ave & Washington St,41.88412183,-87.624456,1353,1371,426,422,829,836,2724,1665,848
3,13006,LaSalle St & Washington St,41.88300683,-87.63261833,678,675,382,375,285,290,1353,575,757
4,13008,Millennium Park,41.8810317,-87.62408432,1645,1682,529,523,872,890,3327,1762,1052
5,13011,Canal St & Adams St,41.879528,-87.63977617,1297,1328,513,517,752,786,2625,1538,1030
6,13016,St. Clair St & Erie St,41.89434514,-87.62279838,1268,1293,514,517,706,703,2561,1409,1031
7,13017,Franklin St & Chicago Ave,41.89680017,-87.63562333,957,965,425,423,522,535,1922,1057,848
8,13021,Clinton St & Lake St,41.88547433,-87.64177883,1171,1186,514,504,647,664,2357,1311,1018
9,13022,Streeter Dr & Grand Ave,41.892278,-87.612043,3131,3085,716,673,1852,1852,6216,3704,1389
10,13028,900 W Harrison St,41.87476766,-87.64982927,694,668,253,246,416,396,1362,812,499
11,13029,Field Museum,41.865312,-87.617867,398,297,112,96,225,156,695,381,208
12,13033,Milwaukee Ave & Grand Ave,41.891578,-87.648384,995,913,477,428,499,463,1908,962,905
13,13034,Michigan Ave & Pearson St,41.89766,-87.62351,471,539,165,168,266,324,1010,590,333
14,13036,Michigan Ave & Madison St,41.88194917,-87.62512517,658,608,249,230,362,354,1266,716,479
15,13037,Clinton St & Tilden St,41.875885,-87.640795,266,280,103,107,157,167,546,324,210
16,13042,Michigan Ave & Oak St,41.90099767,-87.62375167,1366,1436,457,471,757,798,2802,1555,928
17,13045,Dearborn St & Erie St,41.893992,-87.629318,1483,1514,569,577,883,904,2997,1787,1146
18,13050,State St & Kinzie St,41.88848767,-87.62749617,1097,1147,460,468,589,626,2244,1215,928
19,13053,Green St & Randolph St,41.88318131,-87.64872462,636,667,249,250,374,401,1303,775,499
20,13056,Canal St & Monroe St,41.88169,-87.63953,870,737,394,333,455,396,1607,851,727
21,13058,Dayton St & North Ave,41.91065167,-87.64938717,606,629,255,256,339,365,1235,704,511
22,13059,Bissell St & Armitage Ave,41.91801814,-87.65218198,819,831,330,326,483,490,1650,973,656
23,13061,Ashland Ave & Division St,41.90345,-87.667747,1312,1359,647,640,637,700,2671,1337,1287
24,13063,Sheridan Rd & Irving Park Rd,41.95430076,-87.65439487,704,689,254,246,432,434,1393,866,500
25,13068,Western Ave & Winnebago Ave,41.91554415,-87.68706989,459,426,187,184,245,220,885,465,371
26,13071,Southport Ave & Roscoe St,41.943739,-87.66402,871,902,307,313,554,579,1773,1133,620
27,13073,Ashland Ave & Lake St,41.88592,-87.66717,317,303,139,132,172,165,620,337,271
28,13074,Broadway & Wilson - Truman College Vaccination Site,41.965221,-87.658139,532,535,205,211,318,314,1067,632,416
29,13075,Wentworth Ave & Cermak Rd,41.85308456,-87.6319313,446,524,150,152,265,315,970,580,302
30,13080,Hermitage Ave & Polk St,41.871514,-87.669886,288,310,91,91,197,219,598,416,182
31,13081,Ogden Ave & Congress Pkwy,41.87500633,-87.67322083,177,183,104,98,73,82,360,155,202
32,13083,Indiana Ave & 40th St,41.8216575,-87.62141967,32,26,13,14,19,12,58,31,27
33,13084,California Ave & Milwaukee Ave,41.922695,-87.697153,621,615,375,365,232,236,1236,468,740
34,13085,Kedzie Ave & Milwaukee Ave,41.929613,-87.70797,609,616,357,351,227,242,1225,469,708
35,13089,Damen Ave & Cullerton St,41.85497217,-87.67555433,143,154,65,72,76,77,297,153,137
36,13091,Western Ave & 21st St,41.854109,-87.685838,76,75,35,32,38,42,151,80,67
37,13096,California Ave & 21st St,41.85378817,-87.695729,82,74,50,40,30,30,156,60,90
38,13099,Halsted St & 18th St,41.85760951,-87.64608896,190,180,79,78,105,98,370,203,157
39,13102,Calumet Ave & 18th St,41.857611,-87.619407,432,450,164,162,250,267,882,517,326
40,13108,Broadway & Argyle St,41.973815,-87.65966,423,411,178,174,223,223,834,446,352
41,13109,Broadway & Berwyn Ave,41.978353,-87.659753,430,477,213,222,208,240,907,448,435
42,13124,Cannon Dr & Fullerton Ave,41.92675599,-87.63442878,271,287,44,40,179,201,558,380,84
43,13128,Clark St & North Ave,41.91201091,-87.63203895,450,461,138,138,301,297,911,598,276
44,13132,Damen Ave & Chicago Ave,41.895567,-87.677128,653,694,363,360,278,326,1347,604,723
45,13133,Damen Ave & Cortland St,41.915983,-87.677335,594,596,244,249,327,329,1190,656,493
46,13134,Damen Ave & Madison St,41.88137,-87.67493,232,195,138,119,89,72,427,161,257
47,13135,Blue Island Ave & 18th St,41.857556,-87.661535,293,284,129,127,152,148,577,300,256
48,13136,Damen Ave & Division St,41.90332583,-87.678514,567,600,273,285,288,307,1167,595,558
