"","geoid10","area","numeric"
"1","17031842400","1968638.23362778",1968638.23362778
"2","17031840300","831225.10350196",831225.10350196
"3","17031841100","1143245.24497646",1143245.24497646
"4","17031841200","625405.828253059",625405.828253059
"5","17031839000","516456.127220011",516456.127220011
"6","17031838200","1157564.13910151",1157564.13910151
"7","17031650301","985552.910635484",985552.910635484
"8","17031530503","1637979.42349779",1637979.42349779
"9","17031760803","760357.474887562",760357.474887562
"10","17031030601","252836.103996852",252836.103996852
"11","17031030604","283748.926765217",283748.926765217
"12","17031020801","655950.324390979",655950.324390979
"13","17031540102","5296525.9115876",5296525.9115876
"14","17031843300","584251.036919221",584251.036919221
"15","17031540101","3866268.07225902",3866268.07225902
"16","17031440201","531537.287106574",531537.287106574
"17","17031080202","155329.109318362",155329.109318362
"18","17031070102","124701.554100658",124701.554100658
"19","17031031501","160448.037338928",160448.037338928
"20","17031031502","161701.940248368",161701.940248368
"21","17031834900","652720.201769417",652720.201769417
"22","17031834800","600481.927104425",600481.927104425
"23","17031160502","310885.048321574",310885.048321574
"24","17031140702","427093.269853084",427093.269853084
"25","17031842000","589975.992959629",589975.992959629
"26","17031150402","662510.817330817",662510.817330817
"27","17031834400","585569.058626247",585569.058626247
"28","17031040201","721411.126847545",721411.126847545
"29","17031040202","588656.011907091",588656.011907091
"30","17031020702","786874.454877299",786874.454877299
"31","17031020802","644014.90839329",644014.90839329
"32","17031020301","825541.85812488",825541.85812488
"33","17031838700","658084.925883815",658084.925883815
"34","17031020601","591326.123399231",591326.123399231
"35","17031841500","432306.386270773",432306.386270773
"36","17031838600","246252.627385253",246252.627385253
"37","17031837300","368499.155800758",368499.155800758
"38","17031020602","492025.079386661",492025.079386661
"39","17031063301","93852.9893659517",93852.9893659517
"40","17031837800","1005500.65899811",1005500.65899811
"41","17031837400","591450.094550726",591450.094550726
"42","17031836900","164714.840441159",164714.840441159
"43","17031020302","639919.370044091",639919.370044091
"44","17031020902","503213.381288773",503213.381288773
"45","17031010701","429679.705512358",429679.705512358
"46","17031030103","187915.551411438",187915.551411438
"47","17031063303","236592.405427592",236592.405427592
"48","17031030102","200459.828774109",200459.828774109
"49","17031010502","180366.670964537",180366.670964537
"50","17031010503","194274.934550327",194274.934550327
"51","17031010702","357548.491456332",357548.491456332
"52","17031837100","745298.027736827",745298.027736827
"53","17031837000","412544.924797864",412544.924797864
"54","17031010201","504471.033647668",504471.033647668
"55","17031020901","486915.211183985",486915.211183985
"56","17031040401","385796.639200969",385796.639200969
"57","17031210602","380700.751506716",380700.751506716
"58","17031160501","345246.376953886",345246.376953886
"59","17031191302","631189.903063009",631189.903063009
"60","17031190602","621353.179989469",621353.179989469
"61","17031840200","831093.653897179",831093.653897179
"62","17031530501","1296491.83153333",1296491.83153333
"63","17031020701","591392.872858573",591392.872858573
"64","17031831400","2104284.66789687",2104284.66789687
"65","17031831300","576172.990070432",576172.990070432
"66","17031010501","202152.072127893",202152.072127893
"67","17031833000","1312664.56673669",1312664.56673669
"68","17031760801","1300579.86191585",1300579.86191585
"69","17031252101","850097.57510399",850097.57510399
